No,Gender,Education,Working Status,Marriage Style,Status of Having a Child,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21
345,2,4,2,2,2,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3
73,2,3,2,2,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0
107,2,4,2,2,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1
131,2,4,2,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
4,2,4,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,2,3,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,2,4,2,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0
283,2,4,2,2,1,1,0,0,1,1,2,0,1,1,0,2,1,1,2,1,1,1,1,0,0,0
31,2,4,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,2,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,2,4,2,2,1,0,0,0,1,0,0,0,0,0,3,2,0,0,0,1,1,1,2,0,1,0
154,2,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
5,2,4,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,2,3,2,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1
119,2,2,2,1,1,2,0,2,1,2,2,3,2,0,0,2,0,2,0,1,1,1,0,0,0,1
129,2,3,2,1,1,0,0,0,0,1,0,1,1,0,0,0,1,2,0,0,0,1,0,0,0,1
224,2,4,2,1,1,0,2,2,0,1,2,0,0,0,0,0,3,2,3,3,0,0,2,0,0,0
232,2,2,2,2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,2,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2,3,2,1,1,0,0,2,1,0,0,0,1,0,3,2,1,1,0,1,1,2,0,1,1,0
332,2,4,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
155,2,3,2,1,1,1,0,0,1,1,1,1,1,0,3,0,0,1,0,1,0,0,1,0,0,0
122,2,4,2,2,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
424,2,3,2,2,1,0,2,2,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,2,0
100,2,4,2,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0
341,2,2,2,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
393,2,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,2,3,2,2,2,1,0,0,0,0,1,2,2,1,2,1,1,0,3,1,0,1,0,2,2,0
108,2,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
109,2,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
257,2,3,2,2,2,1,1,2,1,1,1,1,1,0,3,1,2,1,0,2,2,1,0,1,1,0
280,2,2,2,1,2,3,1,2,2,2,1,1,1,1,3,2,2,2,1,1,0,1,0,0,1,0
337,2,3,2,2,2,2,0,2,1,2,2,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0
233,2,3,2,2,2,1,1,2,1,1,1,1,1,0,3,2,1,2,1,3,1,1,1,0,1,0
415,2,3,2,2,2,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
86,2,3,2,2,2,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,2,1,0,0,1,0
196,2,3,2,2,2,0,0,0,1,1,1,1,1,1,0,0,1,2,0,0,0,1,0,0,1,0
13,2,3,2,2,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
289,2,3,2,2,2,0,0,0,0,0,1,1,1,0,0,0,0,0,1,2,1,2,0,0,0,0
276,2,2,2,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
266,2,2,2,2,2,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0
222,2,3,2,2,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
245,2,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
250,2,3,2,2,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0
1,2,4,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,1,0
22,2,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,2,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,2,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,2,3,2,2,1,2,1,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1
208,2,2,2,2,1,0,2,0,0,1,2,0,1,0,3,0,0,0,1,2,1,1,0,3,2,0
219,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1
285,2,3,2,1,1,0,1,1,1,2,2,2,2,0,3,0,1,0,1,0,0,0,1,0,1,0
228,2,3,2,2,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0
239,2,3,2,2,1,2,2,0,1,1,2,1,1,1,0,2,2,1,1,1,1,1,0,0,1,1
270,2,3,2,1,1,0,0,0,1,1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2
161,2,2,2,1,1,0,0,2,1,1,1,1,1,0,0,0,0,2,0,1,1,0,1,0,0,1
167,2,2,2,1,1,0,0,2,1,1,1,1,1,0,0,0,0,2,0,1,1,0,1,0,0,1
190,2,2,2,2,1,0,0,0,0,1,1,1,0,0,0,3,1,2,0,0,1,2,0,0,0,0
211,2,3,2,2,1,0,0,2,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
32,2,4,2,2,1,0,0,2,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
207,2,2,2,2,1,0,3,0,1,0,3,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0
206,2,3,2,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
293,2,1,2,2,1,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,1,2,1,0,1,1
173,2,3,2,2,1,1,1,2,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0
326,2,2,2,1,1,0,0,2,0,1,0,0,0,0,0,3,0,1,1,0,0,1,0,0,0,0
212,2,2,2,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0
230,2,2,2,1,1,1,0,0,0,1,3,0,0,0,2,3,1,3,1,1,0,1,1,0,1,0
170,2,2,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
234,2,3,2,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
307,2,3,2,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1
301,2,2,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,0
265,2,2,2,2,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
34,2,2,2,2,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
210,2,2,2,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,2,2,2,2,1,0,0,2,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
287,2,2,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
422,2,2,2,2,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0
47,2,2,2,2,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
262,2,3,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
359,2,2,2,1,1,1,0,0,1,0,0,0,0,0,3,0,0,0,0,2,1,2,0,0,2,2
297,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
423,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,2,4,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,2,0,0,1,0
215,2,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
328,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,2,2,2,1,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1
303,2,3,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
214,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
209,2,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
324,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,2,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
292,2,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
205,2,3,2,2,2,0,1,2,1,2,2,0,1,0,0,2,1,0,0,1,1,1,3,2,2,2
299,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
246,2,3,2,2,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
151,2,1,2,2,2,0,0,0,2,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1
163,2,1,2,2,2,0,0,0,2,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1
272,2,3,2,2,2,1,0,2,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0
118,2,3,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,2,2,2,1,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
3,2,3,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
321,2,2,2,2,2,0,0,2,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0
335,2,3,2,2,2,0,1,0,0,0,3,0,0,0,3,1,1,0,0,0,0,1,1,0,0,0
379,2,3,2,1,2,1,2,0,1,0,0,0,0,0,3,2,1,1,0,0,1,2,1,0,1,3
229,2,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,2,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
